Red,Green,Blue
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.571, 0.143, 0.286
0.667, 0.167, 0.167
0.571, 0.143, 0.286
0.571, 0.143, 0.286
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.667, 0.111, 0.222
0.667, 0.111, 0.222
0.667, 0.111, 0.222
0.667, 0.111, 0.222
0.667, 0.111, 0.222
0.667, 0.111, 0.222
0.667, 0.111, 0.222
0.667, 0.111, 0.222
0.667, 0.111, 0.222
0.667, 0.111, 0.222
0.600, 0.200, 0.200
0.600, 0.200, 0.200
0.667, 0.111, 0.222
0.600, 0.200, 0.200
0.667, 0.111, 0.222
0.600, 0.200, 0.200
0.600, 0.200, 0.200
0.600, 0.200, 0.200
0.600, 0.200, 0.200
0.600, 0.200, 0.200
0.600, 0.200, 0.200
0.600, 0.200, 0.200
0.600, 0.200, 0.200
0.600, 0.200, 0.200
0.600, 0.200, 0.200
0.600, 0.200, 0.200
0.600, 0.200, 0.200
0.600, 0.200, 0.200
0.636, 0.182, 0.182
0.600, 0.200, 0.200
0.600, 0.200, 0.200
0.600, 0.200, 0.200
0.600, 0.200, 0.200
0.600, 0.200, 0.200
0.600, 0.200, 0.200
0.600, 0.200, 0.200
0.667, 0.111, 0.222
0.667, 0.111, 0.222
0.600, 0.200, 0.200
0.600, 0.200, 0.200
0.667, 0.111, 0.222
0.667, 0.111, 0.222
0.667, 0.111, 0.222
0.667, 0.111, 0.222
0.667, 0.111, 0.222
0.667, 0.111, 0.222
0.667, 0.111, 0.222
0.667, 0.111, 0.222
0.667, 0.111, 0.222
0.667, 0.111, 0.222
0.667, 0.111, 0.222
0.667, 0.111, 0.222
0.667, 0.111, 0.222
0.667, 0.111, 0.222
0.667, 0.111, 0.222
0.667, 0.111, 0.222
0.667, 0.111, 0.222
0.667, 0.111, 0.222
0.667, 0.111, 0.222
0.667, 0.111, 0.222
0.667, 0.111, 0.222
0.667, 0.111, 0.222
0.667, 0.111, 0.222
0.667, 0.111, 0.222
0.667, 0.111, 0.222
0.667, 0.111, 0.222
0.667, 0.111, 0.222
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.571, 0.143, 0.286
0.667, 0.167, 0.167
0.571, 0.143, 0.286
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.600, 0.200, 0.200
0.600, 0.200, 0.200
0.600, 0.200, 0.200
0.600, 0.200, 0.200
0.600, 0.200, 0.200
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.667, 0.167, 0.167
0.571, 0.143, 0.286
0.571, 0.143, 0.286
0.571, 0.143, 0.286
0.667, 0.167, 0.167
0.571, 0.143, 0.286
0.667, 0.167, 0.167
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.625, 0.125, 0.250
0.600, 0.200, 0.200
0.667, 0.111, 0.222
0.600, 0.200, 0.200
0.600, 0.200, 0.200
0.600, 0.200, 0.200
0.600, 0.200, 0.200
0.600, 0.200, 0.200
0.600, 0.200, 0.200
0.600, 0.200, 0.200
0.600, 0.200, 0.200
0.600, 0.200, 0.200
0.600, 0.200, 0.200
0.600, 0.200, 0.200
0.600, 0.200, 0.200
0.600, 0.200, 0.200
0.600, 0.200, 0.200
0.600, 0.200, 0.200
0.600, 0.200, 0.200
0.600, 0.200, 0.200
0.600, 0.200, 0.200
0.600, 0.200, 0.200
0.600, 0.200, 0.200
0.600, 0.200, 0.200
0.583, 0.167, 0.250
0.583, 0.167, 0.250
0.600, 0.200, 0.200
0.583, 0.167, 0.250
0.583, 0.167, 0.250
0.583, 0.167, 0.250
0.583, 0.167, 0.250
0.583, 0.167, 0.250
0.583, 0.167, 0.250
0.583, 0.167, 0.250
0.583, 0.167, 0.250
